Time,Sequence Number,Event
75.8776,99000,send
75.8776,100000,send
75.8776,101000,send
75.8776,102000,send
75.8776,103000,send
75.8776,104000,send
75.8776,105000,send
75.8776,96000,transmit
75.8784,100000,transmit
75.8792,101000,transmit
75.88,102000,transmit
75.8808,105000,transmit
75.8984,97000,ack
75.8984,106000,send
75.8984,107000,send
75.8984,106000,transmit
75.8992,97000,ack
75.8992,107000,transmit
75.9192,97000,ack
75.92,97000,ack
76.92,98000,send
77.92,98000,send
77.92,98000,transmit
77.9408,102000,ack
77.9408,103000,send
77.9408,104000,send
77.9408,105000,send
77.9408,106000,send
77.9408,107000,send
77.9408,108000,send
77.9408,109000,send
77.9408,110000,send
77.9408,111000,send
77.9408,112000,send
77.9408,104000,transmit
77.9416,108000,transmit
77.9424,111000,transmit
77.9432,112000,transmit
77.9616,102000,ack
77.9624,102000,ack
77.964,102000,ack
78.964,103000,send
79.964,103000,send
80.964,103000,send
81.964,103000,send
82.964,103000,send
83.964,103000,send
84.964,103000,send
85.964,103000,send
85.964,103000,transmit
86.964,103000,send
86.964,103000,transmit
87.964,103000,send
88.964,103000,send
88.964,103000,transmit
88.9848,108000,ack
88.9848,109000,send
88.9848,110000,send
88.9848,111000,send
88.9848,112000,send
88.9848,113000,send
88.9848,114000,send
88.9848,115000,send
88.9848,116000,send
88.9848,117000,send
88.9848,118000,send
88.9848,109000,transmit
88.9856,110000,transmit
88.9864,114000,transmit
88.9872,115000,transmit
88.988,117000,transmit
88.9888,118000,transmit
89.0056,109000,ack
89.0056,119000,send
89.0056,119000,transmit
89.008,112000,ack
89.008,120000,send
89.008,121000,send
89.008,122000,send
89.0088,112000,ack
89.0264,112000,ack
90.0264,113000,send
90.0264,113000,transmit
90.0472,115000,ack
90.0472,116000,send
90.0472,117000,send
90.0472,118000,send
90.0472,119000,send
90.0472,120000,send
90.0472,121000,send
90.0472,122000,send
90.0472,123000,send
90.0472,124000,send
90.0472,125000,send
90.0472,117000,transmit
90.048,118000,transmit
90.0488,119000,transmit
90.0496,120000,transmit
90.0504,123000,transmit
90.0688,115000,ack
91.0688,116000,send
91.0688,116000,transmit
92.0688,116000,send
93.0688,116000,send
94.0688,116000,send
95.0688,116000,send
95.0688,116000,transmit
96.0688,116000,send
96.0688,116000,transmit
97.0688,116000,send
97.0688,116000,transmit
98.0688,116000,send
98.0688,116000,transmit
99.0688,116000,send
100.0688,116000,send
100.0688,116000,transmit
101.0688,116000,send
101.0688,116000,transmit
101.0896,120000,ack
101.0896,121000,send
101.0896,122000,send
101.0896,123000,send
101.0896,124000,send
101.0896,125000,send
101.0896,126000,send
101.0896,127000,send
101.0896,128000,send
101.0896,129000,send
101.0896,130000,send
101.0896,124000,transmit
101.0904,126000,transmit
101.0912,127000,transmit
101.092,130000,transmit
101.1104,120000,ack
101.1112,120000,ack
